id,subject_area
101-01,Ur- und Frühgeschichte (weltweit)
101-02,Klassische Philologie
101-03,Alte Geschichte
101-04,Klassische Archäologie
101-05,Ägyptische und Vorderasiatische Altertumswissenschaften
102-01,Mittelalterliche Geschichte
102-02,Frühneuzeitliche Geschichte
102-03,Neuere und Neueste Geschichte (einschl. Europäische Geschichte der Neuzeit und Außereuropäische Geschichte)
102-04,Wissenschaftsgeschichte
103-01,Kunstgeschichte
103-02,Musikwissenschaften
103-03,Theater- und Medienwissenschaften
104-01,"Allgemeine und Vergleichende Sprachwissenschaft, Typologie, Außereuropäische Sprachen"
104-02,Einzelsprachwissenschaften
104-03,Historische Linguistik
104-04,"Angewandte Sprachwissenschaften, Experimentelle Linguistik, Computerlinguistik"
105-01,Ältere deutsche Literatur
105-02,Neuere deutsche Literatur
105-03,Europäische und Amerikanische Literaturen
105-04,Allgemeine und vergleichende Literaturwissenschaft; Kulturwissenschaft
106-01,Ethnologie und Europäische Ethnologie
106-02,Asienbezogene Wissenschaften
106-03,"Afrika-, Amerika- und Ozeanienbezogene Wissenschaften"
106-04,"Islamwissenschaften, Arabistik, Semitistik"
106-05,Religionswissenschaft und Judaistik
107-01,Evangelische Theologie
107-02,Katholische Theologie
108-01,Geschichte der Philosophie
108-02,Theoretische Philosophie
108-03,Praktische Philosophie
109-01,Allgemeine und Historische Pädagogik
109-02,Allgemeines und fachbezogenes Lehren und Lernen
109-03,Bildungssysteme und Bildungsinstitutionen
109-04,Pädagogische Sozial- und Organisationsforschung
110-01,"Allgemeine, Biologische und Mathematische Psychologie"
110-02,Entwicklungspsychologie und Pädagogische Psychologie
110-03,Sozialpsychologie und Arbeits- und Organisationspsychologie
110-04,"Differentielle Psychologie, Klinische Psychologie, Medizinische Psychologie, Methoden"
111-01,Soziologische Theorie
111-02,Empirische Sozialforschung
111-03,Publizistik und Kommunikationswissenschaft
111-04,Politikwissenschaft
112-01,Wirtschaftstheorie
112-02,Wirtschaftspolitik und Finanzwissenschaften
112-03,Betriebswirtschaftslehre
112-04,Statistik und Ökonometrie
112-05,Wirtschafts- und Sozialgeschichte
113-01,Grundlagen des Rechts und der Rechtswissenschaft
113-02,Privatrecht
113-03,Öffentliches Recht
113-04,"Strafrecht, Strafprozessrecht"
113-05,Kriminologie
201-01,Biochemie
201-02,Biophysik
201-03,Zellbiologie
201-04,Strukturbiologie
201-05,Allgemeine Genetik
201-06,Entwicklungsbiologie
201-07,Bioinformatik und Theoretische Biologie
201-08,Anatomie
202-01,Evolution und Systematik der Pflanzen und Pilze
202-02,Pflanzenökologie und Ökosystemforschung
202-03,Pflanzenphysiologie
202-04,Organismische Interaktionen und chemische Ökologie pflanzlicher Systeme
202-05,Biochemie und Biophysik der Pflanzen
202-06,Zell- und Entwicklungsbiologie der Pflanzen
202-07,Genetik der Pflanzen
203-01,Systematik und Morphologie der Tiere
203-02,"Evolution, Anthropologie"
203-03,"Ökologie der Tiere, Biodiversität und Ökosystemforschung"
203-04,Biologie des Verhaltens und der Sinne
203-05,Biochemie und Physiologie der Tiere
203-06,Evolutionäre Zell- und Entwicklungsbiologie der Tiere
204-01,"Stoffwechselphysiologie, Biochemie und Genetik der Mikroorganismen"
204-02,Mikrobielle Ökologie und Angewandte Mikrobiologie
204-03,"Medizinische Mikrobiologie, Parasitologie, medizinische Mykologie und Hygiene, Molekulare Infektionsbiologie"
204-04,Virologie
204-05,Immunologie
205-01,"Epidemiologie, Medizinische Biometrie, Medizinische Informatik"
