id,subject_area_eng,review_board_eng,research_area_eng,scientific_discipline_eng,
101-01,Prehistory,Ancient Cultures,Humanities,Humanities and Social Sciences,
101-02,Classical Philology,Ancient Cultures,Humanities,Humanities and Social Sciences,
101-03,Ancient History,Ancient Cultures,Humanities,Humanities and Social Sciences,
101-04,Classical Archaeology,Ancient Cultures,Humanities,Humanities and Social Sciences,
101-05,Egyptology and Ancient Near Eastern Studies,Ancient Cultures,Humanities,Humanities and Social Sciences,
102-01,Medieval History,History,Humanities,Humanities and Social Sciences,
102-02,Early Modern History,History,Humanities,Humanities and Social Sciences,
102-03,Modern and Current History,History,Humanities,Humanities and Social Sciences,
102-04,History of Science,History,Humanities,Humanities and Social Sciences,
103-01,Art History,"Fine Arts, Music, Theatre and Media Studies",Humanities,Humanities and Social Sciences,
103-02,Musicology,"Fine Arts, Music, Theatre and Media Studies",Humanities,Humanities and Social Sciences,
103-03,Theatre and Media Studies,"Fine Arts, Music, Theatre and Media Studies",Humanities,Humanities and Social Sciences,
104-01,"General and Comparative Linguistics, Typology, Non-European Languages",Linguistics,Humanities,Humanities and Social Sciences,
104-02,Individual Linguistics,Linguistics,Humanities,Humanities and Social Sciences,
104-03,Historical Linguistics,Linguistics,Humanities,Humanities and Social Sciences,
104-04,"Applied Linguistics, Experimental Linguistics, Computational Linguistics",Linguistics,Humanities,Humanities and Social Sciences,
105-01,Medieval German Literature,Literary Studies,Humanities,Humanities and Social Sciences,
105-02,Modern German Literature,Literary Studies,Humanities,Humanities and Social Sciences,
105-03,European and American Literature,Literary Studies,Humanities,Humanities and Social Sciences,
105-04,General and Comparative Literature and Cultural Studies,Literary Studies,Humanities,Humanities and Social Sciences,
106-01,Social and Cultural Anthropology and Ethnology,,Humanities,Humanities and Social Sciences,
106-02,Asian Studies,"Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies",Humanities,Humanities and Social Sciences,
106-03,"African, American and Oceania Studies","Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies",Humanities,Humanities and Social Sciences,
106-04,"Islamic Studies, Arabian Studies, Semitic Studies","Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies",Humanities,Humanities and Social Sciences,
106-05,Religious Studies and Jewish Studies,"Social and Cultural Anthropology, Non-European Cultures, Jewish Studies and Religious Studies",Humanities,Humanities and Social Sciences,
107-01,Protestant Theology,Theology,Humanities,Humanities and Social Sciences,
107-02,Roman Catholic Theology,Theology,Humanities,Humanities and Social Sciences,
108-01,History of Philosophy,Philosophy,Humanities,Humanities and Social Sciences,
108-02,Theoretical Philosophy,Philosophy,Humanities,Humanities and Social Sciences,
108-03,Practical Philosophy,Philosophy,Humanities,Humanities and Social Sciences,
109-01,General Education and History of Education,Educational Research,Social and Behavioural Sciences,Humanities and Social Sciences,
109-02,General and Domain-Specific Teaching and Learning,Educational Research,Social and Behavioural Sciences,Humanities and Social Sciences,
109-03,Education Systems and Educational Institutions,Educational Research,Social and Behavioural Sciences,Humanities and Social Sciences,
